Surface,Substrate,Adsorbate,Substrate Mass,NN,mindistance,NN2,Adsorbate mass,cos(alpha),sin(alpha),Mr,Zfrequency,frequency_corrected,Energy,Surface_Energy,Eads
100,Mo,NHH,95.94,2,2.181521957,2,16.02258,0.771835685,0.635822047,14.1579347,409.286761,435.4055583,-646.75377,-630.21417,-2.998184
100,Ni,NHH,58.6934,4,2.188146608,1,16.02258,0.593761264,0.804641263,13.60084058,266.215596,288.9461045,-333.48537,-317.50829,-2.435664
100,Pd,NHH,106.42,4,2.395177876,1,16.02258,0.557198529,0.83037931,14.44172646,258.934159,272.7382276,-328.4734,-313.27311,-1.658874
100,Pt,NHH,195.08,2,2.204861955,2,16.02258,0.756560054,0.653924219,14.99547045,328.499943,339.5638705,-387.78224,-373.149,-1.091824
100,Rh,NHH,102.9055,4,2.365913745,1,16.02258,0.58182167,0.813316386,14.51125325,286.205449,300.7403228,-443.58537,-427.9503,-2.093654
100,V,NHH,50.9415,4,2.235307873,1,16.02258,1,0,14.8797242,312.889044,324.6826933,-543.99658,-526.72592,-3.729244
100,W,NHH,183.85,2,2.181352167,2,16.02258,0.764372622,0.644774763,14.97545835,429.772307,444.5438334,-765.35137,-748.07192,-3.738034
110,Ag,NHH,107.868,2,2.232430089,2,16.02258,0.739124074,0.673569301,14.10873438,319.133141,340.0901882,-168.14134,-153.48222,-1.117704
110,Al,NHH,26.98154,2,1.967543807,2,16.02258,0.629776038,0.776776764,9.391164736,398.594624,520.6404802,-228.94659,-213.62586,-1.779314
110,Au,NHH,196.9665,2,2.417790919,2,16.02258,0.69473286,0.719267859,14.92029219,235.064831,243.593232,-207.43011,-193.5769,-0.311794
110,Cr,NHH,51.996,3,2.008055257,1,16.02258,0.719007075,0.695002753,13.41182658,443.481965,484.7281292,-582.33882,-565.39807,-3.399334
110,Cu,NHH,63.546,2,2.155394418,2,16.02258,0.679101478,0.734044401,13.03778381,279.453891,309.7950667,-224.43799,-209.59645,-1.300124
110,Fe,NHH,55.847,3,1.941810021,1,16.02258,0.780239895,0.62548038,13.87158815,435.350561,467.8883586,-504.44293,-490.29765,-0.603864
110,Ir,NHH,192.22,2,2.280725017,2,16.02258,0.634654773,0.772795781,14.8135102,252.784845,262.8985964,-514.30732,-499.827,-0.938904
110,Mo,NHH,95.94,3,2.140021341,1,16.02258,0.739406939,0.673258776,14.56251535,439.919614,461.4464954,-676.50801,-659.8486,-3.117994
110,Ni,NHH,58.6934,2,2.032743755,2,16.02258,0.704212838,0.709988929,12.8695429,307.621453,343.2426787,-316.51011,-301.45531,-1.513384
110,Pd,NHH,106.42,2,2.211353353,2,16.02258,0.655859328,0.754883131,13.91884359,273.946329,293.9206722,-311.26636,-296.80451,-0.920434
110,Pt,NHH,195.08,2,2.253024657,2,16.02258,0.643453912,0.765484855,14.79405781,265.207167,275.999201,-367.4624,-353.2625,-0.658484
110,Rh,NHH,102.9055,2,2.236866277,2,16.02258,0.621049637,0.783771235,13.84267998,239.467399,257.6336177,-421.83132,-407.15308,-1.136824
110,V,NHH,50.9415,3,2.098058261,1,16.02258,0.70042981,0.713721291,13.27782622,409.077119,449.3739809,-563.96684,-546.58636,-3.839064
110,W,NHH,183.85,3,2.105349326,1,16.02258,0.774073599,0.63309562,15.28976376,485.117692,496.6071295,-806.02204,-789.2681,-3.212524
111,Ag,NHH,107.868,3,2.215156131,3,16.02258,0.739036341,0.67366556,14.72032743,331.655106,346.0144032,-183.83488,-168.80985,-1.483614
111,Al,NHH,26.98154,3,1.839268882,3,16.02258,0.998681378,0.051337171,13.37534911,542.614036,593.8881843,-241.18468,-225.00988,-2.633384
111,Au,NHH,196.9665,3,2.124919185,3,16.02258,0.724628823,0.689139369,15.25134305,399.23588,409.2057659,-226.29249,-211.42435,-1.326724
111,Cu,NHH,63.546,3,1.971710186,3,16.02258,0.737052541,0.675835447,13.92493322,406.588833,436.1391876,-244.07953,-228.4102,-2.127914
111,Ir,NHH,192.22,3,1.966758464,3,16.02258,0.989033866,0.1476889,15.58283186,582.212895,590.3707771,-558.41909,-542.65627,-2.221404
111,Ni,NHH,58.6934,3,1.914675256,3,16.02258,0.740690924,0.671845931,13.79461503,0,0,-340.66639,-324.5079,-2.617074
111,Pd,NHH,106.42,3,2.070554776,3,16.02258,0.735907438,0.677082153,14.70440381,430.281059,449.153453,-335.07766,-319.10613,-2.430114
111,Pt,NHH,195.08,3,2.012426588,3,16.02258,0.792035289,0.610475307,15.36289134,498.473242,509.0630736,-398.59759,-383.1712,-1.884974
111,Rh,NHH,102.9055,3,2.037429667,3,16.02258,0.787230234,0.616659191,14.80840219,,,-454.7017,-438.77157,-2.388714
