"Surface","Substrate","Adsorbate","Substrate Mass","NN","mindistance","NN2","NN2min","Adsorbate mass","cos(alpha)","sin(alpha)","NN2cosa","NN2sina","Mr","Energy","Surface_Energy","Egas","Eads","Edisp","SurfaceDisp","EminusDisp","Gvib100C","ZPE","vibEntropy","vibEnthalpy"
"111","Cu","OH","63.545999999999999","3","2.0473868859601985","3","3.7295332965850911","17.007339999999999","0.65143167614412223","0.75870730279605136","0.92134788057330019","0.3887390936902122","14.177527342177275","-238.92184","-228.36973","-7.7312472","-2.8208627999999987","-33.95302","-33.5955","-2.4633427999999906","0.28933891575546172","0.34237689292354767","0.00034830338179461649","0.41930832267212287"
"111","Ir","OH","192.22","3","2.2329765576733944","3","4.0710851993764727","17.007339999999999","0.68959595463341905","0.72419432430337616","0.92288662178430492","0.3850717898412625","16.05662259759961","-552.55295999999998","-542.63914999999997","-7.7312472","-2.1825628000000119","-44.75741","-44.48281","-1.9079628000000195","0.26071026371989736","0.3292060391543018","0.0004073576428007754","0.41271576813100669"
"111","Ni","OH","58.693399999999997","3","1.9824838984374493","3","3.666282934299351","17.007339999999999","0.65651641416933715","0.7543117378950398","0.92193461870498805","0.38734552899612529","14.011425843933704","-335.44486999999998","-324.62639999999999","-7.7312472","-3.0872227999999904","-26.59695","-26.30446","-2.7947327999999967","0.29065013167288301","0.3427138614341507","0.00034400925909348895","0.41901718670361843"
"111","Pd","OH","106.42","3","2.1876314264461301","3","4.0103492605758051","17.007339999999999","0.62523118711041192","0.78043959578208555","0.9176315059553023","0.39743228263215369","15.062244845421189","-329.31749000000002","-319.30203999999998","-7.7312472","-2.2842028000000436","-38.6332","-38.31693","-1.9679328000000549","0.25319562863985362","0.3260253607557217","0.00042717693120358427","0.41259670051847108"
"111","Pt","OH","195.08000000000001","3","2.2280747642203971","3","3.985327393097247","17.007339999999999","0.60984609318186023","0.79251986891864223","0.91561070177613713","0.40206596821045387","15.846576698238042","-392.40150999999997","-382.73604","-7.7312472","-1.9342227999999704","-50.21972","-49.81562","-1.5301227999999778","0.27151859966989345","0.3371191040326682","0.00039114126510957238","0.41747296274553036"
"111","Rh","OH","102.9055","3","2.1794736275721114","3","4.0272364425945382","17.007339999999999","0.68749911932177155","0.72618521117672763","0.92309204233189868","0.38457909639438781","15.299506809797506","-449.23372000000001","-438.93320999999997","-7.7312472","-2.5692628000000308","-37.43139","-37.2488","-2.386672800000012","0.2626393439855404","0.3298336868019404","0.0004039834291146311","0.41338576055966497"
"100","Ag","OOH","107.86799999999999","1","2.2451650980427749","1","4.5704560808165837","33.006740000000001","0.98288001902431033","0.18424675900208265","0.93018488836899849","0.36709136934822334","25.141053629756467","-178.81331","-165.26823999999999","-10.625912","-2.9191580000000101","-35.40894","-35.19298","-2.7031980000000075","","","",""
"100","Al","OOH","26.981539999999999","1","1.8975165793583304","1","3.4859895670227306","33.006740000000001","0.61004663727769004","0.79236550931131677","0.91475491477063342","0.40400921512135229","8.0309830231602994","-241.58421999999999","-221.30146999999999","-10.625912","-9.6568379999999934","-11.0632","-10.67844","-9.272078","0.35394425811156971","0.4382063987850793","0.00053281218847560157","0.55276312624124047"
"100","Au","OOH","196.9665","1","2.2535790091738752","1","3.8617007644056192","33.006740000000001","0.65715923090131079","0.75375177959405038","0.94549073953342067","0.32564898503840772","24.273593012746023","-220.31477000000001","-206.39518000000001","-10.625912","-3.2936779999999999","-49.34445","-48.87494","-2.8241680000000073","0.25371339379784397","0.41839095228654255","0.000825737703721017","0.56183741794134145"
"100","Cr","OOH","51.996000000000002","1","1.641167627139466","1","3.50488550934055","33.006740000000001","0.98142183275221839","0.19186241475931845","0.87181710924252365","0.48983153025505577","19.959635170512392","-562.57622000000003","-546.62088000000006","-10.625912","-5.3294279999999787","-22.36461","-22.03959","-5.004408000000009","","","",""
"100","Cu","OOH","63.545999999999999","1","2.1561097729663015","1","3.0159206649543311","33.006740000000001","0.52330379610509414","0.85214619460629992","0.99999995196808855","0.0003099416408498048","14.145101006048117","-237.98390000000001","-223.24878000000001","-10.625912","-4.1092079999999953","-32.22165","-31.89969","-3.787247999999984","","","",""
"100","Ir","OOH","192.22","1","1.9289007273409529","1","4.3154969178651266","33.006740000000001","0.99916500401512198","0.040857003701461725","0.8996011320344024","0.43671249494652875","28.189095241597368","-541.15156000000002","-526.44940999999994","-10.625912","-4.0762380000000746","-43.0345","-42.59412","-3.6358580000000913","0.21379978364456115","0.4129015270179902","0.00089618753284296756","0.54821216152491448"
"100","Ni","OOH","58.693399999999997","1","1.9036400330671361","1","2.7538201409084118","33.006740000000001","0.46823534012656121","0.88360379484051765","0.99852378230144068","0.054316260718362402","11.878624896204052","-335.62619999999998","-317.56061","-10.625912","-7.4396779999999865","-25.69471","-25.28869","-7.033657999999999","","","",""
"100","Pd","OOH","106.42","1","2.0921960132370687","1","3.7112741744302693","33.006740000000001","0.70182752480431643","0.71234691367833303","0.94723268971807761","0.32054676964439399","20.681541784529074","-327.75420000000003","-313.26058","-10.625912","-3.8677080000000217","-37.5185","-37.05115","-3.400358000000004","0.29969901782952657","0.41929414146943667","0.0006629764916199621","0.54708869567751539"
"100","Pt","OOH","195.08000000000001","1","1.9836278410893753","1","3.5620791896080415","33.006740000000001","0.64781695456633503","0.76179603134723595","0.92590049974452748","0.37776747421242368","23.906349623043663","-389.80608999999998","-373.07008999999999","-10.625912","-6.1100879999999904","-48.91279","-48.29137","-5.4886679999999615","0.37829007227788247","0.4440005987673174","0.00043758461789076387","0.54157477244382102"
"100","Rh","OOH","102.9055","1","1.9168688603355639","1","3.5364889488928344","33.006740000000001","0.6859220759725595","0.72767500004706376","0.93180962226932118","0.36294741746746839","19.979926557299276","-446.01105999999999","-428.27068000000003","-10.625912","-7.1144679999999596","-36.06292","-35.57768","-6.629227999999941","0.34923742085133347","0.4352211610055512","0.00052422858132313997","0.5448533159720631"
"100","V","OOH","50.941499999999998","1","2.0449126670023592","1","2.1594640296741718","33.006740000000001","0.29766929084466293","0.95466904908875894","0.999878351782023","0.015597488184475827","10.197809163688071","-549.49180000000001","-526.72218999999996","-10.625912","-12.143698000000057","-28.71363","-28.44659","-11.876658000000091","0.36274310869661897","0.4332807615570068","0.00048123977534080735","0.5423177308650412"
"100","W","OOH","183.84999999999999","1","1.9353959642158607","1","3.8327336103565086","33.006740000000001","0.98646385339857223","0.16397885820446539","0.87574854295764992","0.4827675315382689","27.920917486632945","-765.09765000000004","-748.08465999999999","-10.625912","-6.3870780000000593","-30.37882","-30.19729","-6.205548000000039","0.19464777341541117","0.39624094788923936","0.00094633129377084935","0.54777129568600358"
"110","Ag","OOH","107.86799999999999","1","2.2607260052592033","1","3.5871308659375249","33.006740000000001","0.70116096576671549","0.71300301548106138","0.8833539006885831","0.4687066098725991","21.032363819519848","-168.11809","-153.84818999999999","-10.625912","-3.6439880000000073","-30.16818","-29.89165","-3.367457999999999","0.27292933484263177","0.42164679399292837","0.00077486794707487333","0.5620713092936207"
"110","Al","OOH","26.981539999999999","1","1.8317113144868946","1","1.9116956702038295","33.006740000000001","0.24215137288233912","0.97023848233885168","0.78448411112637983","0.62014891710802311","3.9512008405956873","-234.45375999999999","-214.1301","-10.625912","-9.69774799999999","-9.00145","-8.75885","-9.455147999999987","","","",""
"110","Au","OOH","196.9665","1","2.2267431994567044","1","3.3197297123267857","33.006740000000001","0.61272283527268345","0.7902978724097669","0.90594419966918349","0.42339710330346197","23.953376108509993","-207.63508999999999","-193.69336000000001","-10.625912","-3.3158179999999788","-42.12072","-41.77111","-2.9662079999999733","","","",""
"110","Cr","OOH","51.996000000000002","1","1.8864767648190308","1","3.2542749297962357","33.006740000000001","0.63031303221755008","0.77634108574563909","0.98507800265468859","0.17210847941298296","13.379394480812319","nan","-565.21470999999997","-10.625912","nan","nan","-26.74753","nan","","","",""
"110","Cu","OOH","63.545999999999999","1","1.9743402096638751","1","3.19218653700921","33.006740000000001","0.74657094750646924","0.66530580963891539","0.88163686069629588","0.4719284329870157","17.670078286192272","-224.47969000000001","-209.72418999999999","-10.625912","-4.1295880000000125","-26.37963","-26.0966","-3.8465580000000195","","","",""
"110","Fe","OOH","55.847000000000001","1","1.8381401007844327","1","3.2700762448655354","33.006740000000001","0.65216637734919358","0.75807586444578834","0.97837302244511304","0.20684832354073912","14.349542814200829","nan","-471.03402999999997","-10.625912","nan","nan","-19.23648","nan","","","",""
"110","Ir","OOH","192.22","1","1.7821063496488618","1","3.8542186042289517","33.006740000000001","0.99962780708233467","0.027280896388546205","0.80068793737094757","0.59908165298952165","28.192070280912887","-517.90350999999998","-500.00984999999997","-10.625912","-7.2677480000000116","-35.62487","-35.21355","-6.856428000000022","0.31451198672622765","0.4294359922797231","0.00062384596998408767","0.54730011042578997"
"110","Mo","OOH","95.939999999999998","1","2.0543284857661712","1","3.4883257418373943","33.006740000000001","0.61172370704542911","0.79107149249520947","0.97944445268976932","0.20171406518941218","17.998006193712087","-680.19581000000005","-659.62658999999996","-10.625912","-9.9433080000000871","-33.74559","-33.31946","-9.517178000000094","0.35876171807980473","0.4297990291483078","0.00048600768822419275","0.54011548694066225"
"110","Ni","OOH","58.693399999999997","1","1.8940296782910335","1","3.167568328015292","33.006740000000001","0.77242809299326354","0.63510222890082035","0.86928515523828687","0.49431095363379046","17.434418595407319","nan","-301.59634","-10.625912","nan","nan","-21.04461","nan","","","",""
"110","Pd","OOH","106.42","1","1.9766195567178473","1","3.7627533548936229","33.006740000000001","0.96388731739162647","0.26631041919454435","0.85999604956063702","0.51030069051501226","24.846011715239555","-311.35181999999998","-296.98597000000001","-10.625912","-3.7399379999999667","-31.05942","-30.74142","-3.4219379999999795","","","",""
"110","Pt","OOH","195.08000000000001","1","1.8123628417965902","1","3.7398041111111193","33.006740000000001","0.97801929353127193","0.20851441552226474","0.82198611650510278","0.56950752784564607","28.083590345840054","-368.98840000000001","-353.24986000000001","-10.625912","-5.1126280000000008","-40.48978","-39.98673","-4.609578000000006","","","",""
"110","Rh","OOH","102.9055","1","1.8490122061437122","1","3.3089979586838698","33.006740000000001","0.7279426350042143","0.68563803872241602","0.8225409955856009","0.56870582077296217","20.846576054388791","-424.91703999999999","-407.34068000000002","-10.625912","-6.950447999999966","-29.76023","-29.38121","-6.571427999999987","0.31519373551704566","0.42550412404656734","0.00061463483042249528","0.54454472248919972"
"110","V","OOH","50.941499999999998","1","1.7665076786664116","1","4.249584161032919","33.006740000000001","0.99587406604050288","0.090746044475536705","0.95169608353097679","0.30704163331997802","20.000861477083923","-561.92489","-546.61684000000002","-10.625912","-4.6821379999999806","-34.4662","-34.27922","-4.495158000000025","","","",""
"110","W","OOH","183.84999999999999","1","2.0413589763906814","1","3.4853256197630116","33.006740000000001","0.62012111237219836","0.78450609047366049","0.97944577575405189","0.20170764080109441","23.150977143707749","-809.94737999999995","-789.37418000000002","-10.625912","-9.9472879999999293","-36.75687","-36.30608","-9.496497999999882","0.37471915107779974","0.4405090200921318","0.00045841520415103998","0.54577678450676026"
"111","Ag","OOH","107.86799999999999","1","2.3469897062977951","1","4.2801806675770244","33.006740000000001","0.75592843472542359","0.6546542610978493","0.98312837000564957","0.18291694314643139","21.821764400651084","-182.96903","-168.80058","-10.625912","-3.5425380000000075","-36.87138","-36.43684","-3.107997999999988","0.29630973948705291","0.42575011357804626","0.0007061778752682717","0.5598200136434085"
"111","Al","OOH","26.981539999999999","1","1.8518125667303882","1","3.6043941551823351","33.006740000000001","0.38652636598672335","0.92227835732879337","0.8890500021901141","0.45781010649149967","3.894976356258518","-245.52941999999999","-225.15767","-10.625912","-9.745837999999992","-11.8076","-11.49661","-9.434847999999985","","","",""
"111","Au","OOH","196.9665","1","2.1658738832803444","1","4.7862378893262214","33.006740000000001","0.98841811385674005","0.15175517190489582","0.95758930592137859","0.28813663631168551","28.206889593781913","-225.26423","-211.63874999999999","-10.625912","-2.9995680000000107","-51.02234","-50.56948","-2.5467080000000237","","","",""
"111","Cu","OOH","63.545999999999999","1","2.0333154176238226","1","3.4555967823592328","33.006740000000001","0.66824179812095785","0.74394415062158326","0.99997980314701218","0.0063555722057730378","15.960424290822411","-242.71437","-228.36973","-10.625912","-3.7187279999999987","-33.92287","-33.5955","-3.3913579999999826","","","",""
"111","Ir","OOH","192.22","1","1.8112878015968872","1","4.3579681532203436","33.006740000000001","0.99991057397939154","0.013373258548448612","0.93467789004834334","0.35549576910953079","28.187329386521395","-558.55008999999995","-542.63914999999997","-10.625912","-5.2850279999999827","-45.04207","-44.48281","-4.725768000000016","0.29599613096553062","0.41749786372370196","0.00065506652932587636","0.54043420638348139"
